,total_unique_sites,conversion_rate,total_sessions,avg_time_to_action,unique_sites_fraction
user_6,300.0,0.625,8.0,168.4,0.39113428943937417
user_11,119.0,1.0,1.0,24.0,1.0
user_15,66.0,1.0,1.0,55.0,1.0
user_20,185.0,1.0,1.0,97.0,1.0
user_21,256.0,0.8888888888888888,9.0,63.875,0.2188034188034188
user_23,128.0,0.5,2.0,76.0,0.810126582278481
user_26,124.0,0.0,13.0,,0.3171355498721228
user_28,342.0,0.43333333333333335,30.0,88.76923076923077,0.13033536585365854
user_35,173.0,0.0,1.0,,1.0
user_41,221.0,0.3333333333333333,3.0,40.0,0.48464912280701755
user_44,180.0,0.0,7.0,,0.4400977995110024
user_46,214.0,1.0,1.0,3.0,1.0
user_47,171.0,1.0,1.0,11.0,1.0
user_50,62.0,0.0,1.0,,1.0
user_54,70.0,0.0,1.0,,1.0
user_55,97.0,0.0,1.0,,1.0
user_58,111.0,1.0,1.0,38.0,1.0
user_63,155.0,0.6666666666666666,3.0,111.0,0.6567796610169492
user_65,62.0,0.0,1.0,,1.0
user_66,65.0,0.5,4.0,32.5,0.3439153439153439
user_67,196.0,0.25,8.0,180.5,0.4307692307692308
user_69,77.0,0.0,3.0,,0.46107784431137727
user_71,124.0,0.0,1.0,,1.0
user_72,162.0,0.16666666666666666,6.0,65.0,0.3922518159806295
user_73,55.0,1.0,1.0,132.0,1.0
user_76,162.0,1.0,1.0,71.0,1.0
user_84,84.0,1.0,1.0,412.0,1.0
user_87,146.0,0.0,3.0,,0.6460176991150443
user_88,179.0,1.0,1.0,13.0,1.0
user_93,198.0,0.3333333333333333,3.0,23.0,0.5806451612903226
user_95,60.0,1.0,1.0,182.0,1.0
user_97,185.0,1.0,1.0,259.0,1.0
user_103,100.0,0.5,2.0,113.0,0.6289308176100629
user_105,107.0,0.16666666666666666,6.0,15.0,0.28232189973614774
user_109,228.0,0.0,3.0,,0.44271844660194176
user_111,340.0,0.7,20.0,508.92857142857144,0.1983663943990665
user_114,190.0,0.6,5.0,-37563.0,0.4513064133016627
user_116,164.0,0.5,2.0,85.0,0.6283524904214559
user_117,168.0,1.0,2.0,128.0,0.9130434782608695
user_118,206.0,0.4,5.0,109.5,0.42386831275720166
user_119,84.0,0.0,1.0,,1.0
user_121,55.0,1.0,1.0,152.0,1.0
user_124,119.0,0.0,1.0,,1.0
user_126,248.0,0.8333333333333334,6.0,1030.2,0.4389380530973451
user_128,172.0,1.0,2.0,-30.5,0.7288135593220338
user_129,281.0,0.5,6.0,72.0,0.3607188703465982
user_133,253.0,0.6,10.0,96.33333333333333,0.23689138576779026
user_134,132.0,0.8,5.0,72.25,0.4049079754601227
user_135,26.0,0.5,2.0,214.0,0.7222222222222222
user_136,64.0,0.0,1.0,,1.0
user_137,104.0,0.0,1.0,,1.0
user_138,174.0,0.6,5.0,108.33333333333333,0.4339152119700748
user_139,156.0,0.5,4.0,120.0,0.36792452830188677
user_145,178.0,1.0,2.0,69.0,0.8240740740740741
user_147,163.0,0.7272727272727273,11.0,65.75,0.25588697017268447
user_149,244.0,0.5714285714285714,7.0,118.25,0.4326241134751773
user_150,115.0,0.0,1.0,,1.0
user_154,42.0,1.0,1.0,66.0,1.0
user_155,109.0,1.0,3.0,71.66666666666667,0.5240384615384616
user_156,228.0,0.6,5.0,53.666666666666664,0.35294117647058826
user_170,173.0,1.0,1.0,197.0,1.0
user_171,85.0,0.3333333333333333,3.0,85.0,0.4941860465116279
user_172,53.0,0.0,1.0,,1.0
user_175,175.0,1.0,2.0,181.5,0.5537974683544303
user_176,20.0,1.0,1.0,124.0,1.0
user_179,63.0,1.0,1.0,39.0,1.0
user_180,123.0,0.2,5.0,19.0,0.44565217391304346
user_181,304.0,0.8,10.0,72.25,0.28305400372439476
user_182,179.0,0.6666666666666666,3.0,72.5,0.6462093862815884
user_183,245.0,0.42857142857142855,7.0,110.33333333333333,0.4375
user_184,258.0,0.6666666666666666,3.0,75.0,0.7146814404432132
user_185,169.0,0.16666666666666666,6.0,205.0,0.43669250645994834
user_189,106.0,0.5,2.0,59.0,0.726027397260274
user_190,296.0,0.8181818181818182,11.0,150.11111111111111,0.23161189358372458
user_191,127.0,1.0,1.0,80.0,1.0
user_194,124.0,0.5,2.0,33.0,0.8157894736842105
user_195,188.0,1.0,1.0,10.0,1.0
user_196,68.0,1.0,1.0,78.0,1.0
user_198,150.0,1.0,4.0,80.75,0.391644908616188
user_199,101.0,1.0,1.0,54.0,1.0
user_203,202.0,0.5,4.0,135.0,0.2940320232896652
user_204,244.0,0.3333333333333333,6.0,59.0,0.47843137254901963
user_208,168.0,0.3333333333333333,3.0,130.0,0.6640316205533597
user_209,128.0,1.0,1.0,53.0,1.0
user_212,128.0,0.5,6.0,32.0,0.41423948220064727
user_220,178.0,0.8571428571428571,7.0,131.83333333333334,0.34099616858237547
user_222,132.0,0.0,2.0,,0.6027397260273972
user_223,40.0,1.0,1.0,32.0,1.0
user_224,129.0,1.0,1.0,127.0,1.0
user_225,289.0,1.0,7.0,53.0,0.3567901234567901
user_228,142.0,0.0,2.0,,0.5017667844522968
user_229,205.0,0.0,4.0,,0.6549520766773163
user_236,71.0,1.0,1.0,20.0,1.0
user_239,239.0,0.42857142857142855,7.0,86.66666666666667,0.4552380952380952
user_242,127.0,0.5,2.0,112.0,0.8410596026490066
user_244,248.0,0.2857142857142857,14.0,49.5,0.21565217391304348
user_247,117.0,0.0,1.0,,1.0
user_249,79.0,0.5,2.0,181.0,0.6030534351145038
user_251,118.0,0.0,1.0,,1.0
